"","Taxa_info","t_value","mean_difference","p_value"
"1","Acidobacteria",-4.50955251529323,-0.99254988585369,0.00197698074164208
"2","Actinobacteria",-2.92675086063501,-0.544646436979037,0.0190928785664525
"3","Bacteria_unclassified",-4.10590318066133,-0.529603777178292,0.00340985655870498
"4","Candidatus_Melainabacteria",-4.38238242034797,-1.42549694851874,0.00234130388197511
"5","Candidatus_Parcubacteria",2.71341012830557,1.38821959555813,0.0265177630334215
"6","Candidatus_Tectomicrobia",-2.98295171971886,-0.392711361832817,0.017521318167963
"7","Chlorobi",-3.47379905409856,-2.377331306971,0.00839574527625758
"8","Chloroflexi",-3.82435022270029,-1.65018031004243,0.00505835098352845
"9","Cyanobacteria",-8.01000566802108,-2.82313823598812,4.32770703749643e-05
"10","Fibrobacteres",-2.7846140746979,-0.599472107654942,0.0237548465817017
"11","Firmicutes",-3.74408750447383,-0.445881662648622,0.00567204990406128
"12","Fusobacteria",-4.15202272631754,-1.87432870516469,0.00320006990898074
"13","Planctomycetes",-3.64553952599568,-1.96525451765046,0.00653638080608308
"14","Spirochaetes",-3.10463615341866,-2.49520711845342,0.0145632101256794
"15","Tenericutes",-2.63414049302457,-0.922412636272942,0.0299848160896264
