"","Taxa_info","t_value","mean_difference","p_value"
"1","Amino acid transport and metabolism",7.30431305359412,1.34072607597031,8.35386723863115e-05
"2","Carbohydrate transport and metabolism",2.77376756973318,0.540134531047355,0.0241557887764668
"3","Cell cycle control, cell division, chromosome partitioning",-7.28009879635718,-0.691799253359486,8.55191463629729e-05
"4","Cell motility",8.13003773258188,3.77025710664029,3.88757357161689e-05
"5","Cell wall/membrane/envelope biogenesis",-5.01952541489454,-1.41700753565652,0.00102748439580974
"6","Chromatin structure and dynamics",-26.9512312064192,-3.89051543364577,3.86778435066486e-09
"7","Coenzyme transport and metabolism",-4.64818297368132,-1.60084991101139,0.00164856921642147
"8","Cytoskeleton",-6.26607828657192,-3.08720239873108,0.000241469884948828
"9","Energy production and conversion",-8.11660599732965,-0.955371971096055,3.93426190556063e-05
"10","Function unknown",10.7325280100453,1.37641174819054,4.99530079509415e-06
"11","Intracellular trafficking, secretion, and vesicular transport",-15.3679018312907,-1.86007903783089,3.1930384287707e-07
"12","Lipid transport and metabolism",-4.63027316964249,-1.03150938214874,0.00168744922365257
"13","Nucleotide transport and metabolism",-4.07372675076626,-0.873901437400866,0.00356497057487972
"14","Posttranslational modification, protein turnover, chaperones",-5.28341653208868,-0.62667331281106,0.000743129598311704
"15","Replication, recombination and repair",6.37992558025917,1.31309031074346,0.000213659663060996
"16","RNA processing and modification",-29.1674341920993,-3.13571977150711,2.0672720350102e-09
"17","Secondary metabolites biosynthesis, transport and catabolism",-8.66467149393768,-1.96709135342671,2.44770535687373e-05
"18","Signal transduction mechanisms",13.088569854309,4.22954703824678,1.10330347208917e-06
"19","Transcription",-6.7069340882805,-0.817597642252012,0.000151618691150493
"20","Translation, ribosomal structure and biogenesis",-4.38316739837454,-0.471260755200325,0.00233884363148367
