"","Taxa_info","t_value","mean_difference","p_value"
"1","(R,R)-butanediol dehydrogenase activity",-3.63318376456272,-2.43903960886339,0.00665428611933629
"2","[acyl-carrier-protein] S-malonyltransferase activity",2.59753552564463,1.51689946800612,0.0317391483185339
"3","1,4-alpha-glucan branching enzyme activity",5.84258750028121,3.67180546564062,0.000386008679311119
"4","10-formyltetrahydrofolate biosynthetic process",3.42872007544269,1.32920217341938,0.00897176466085306
"5","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",6.65101461601298,4.35088293886272,0.000160638403255657
"6","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity",-12.8900932414656,-3.5321886107363,1.24056422746314e-06
"7","2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity",4.47770562901881,1.4541997380764,0.0020620553810167
"8","2-dehydro-3-deoxy-phosphogluconate aldolase activity",7.22259006110049,3.28540966109252,9.0434691820647e-05
"9","2-dehydropantoate 2-reductase activity",6.64913574474107,2.26459614683163,0.000160951593513683
"10","2-hydroxy-3-oxopropionate reductase activity",5.31491076682515,2.62479548190442,0.000715408397271015
"11","2-hydroxymethylglutarate dehydrogenase activity",2.79852499317927,0.0928248283817009,0.0232506509723098
"12","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity",-4.94397454966732,-3.56797611286622,0.00112940457961902
"13","2,4-dienoyl-CoA reductase (NADPH) activity",6.20569732417412,2.63409712638541,0.000257823140237644
"14","3'-5' exonuclease activity",4.2783142362512,2.90590422847867,0.00269365146722579
"15","3'-tRNA processing endoribonuclease activity",-6.24472451403658,-2.86642484229094,0.000247118669646558
"16","3',5'-cyclic-AMP phosphodiesterase activity",2.42184367348825,1.34019735656913,0.0417298810143412
"17","3-chloroallyl aldehyde dehydrogenase activity",-2.82861923189952,-1.77041746827054,0.0221973389813507
"18","3-dehydroquinate dehydratase activity",-6.765111217268,-1.84069538211799,0.000142825173979013
"19","3-dehydroquinate synthase activity",3.54451580550843,1.46595102895818,0.00756978314474735
"20","3-deoxy-8-phosphooctulonate synthase activity",-2.88040077858998,-2.11731607691009,0.0204989223930322
"21","3-hydroxybutyryl-CoA dehydratase activity",-11.7000089833937,-4.03855428631784,2.59947839443409e-06
"22","3-isopropylmalate dehydrogenase activity",-2.57526955976646,-0.863669517915354,0.0328571512361092
"23","3-methyl-2-oxobutanoate hydroxymethyltransferase activity",-8.39157344290133,-4.94537953957604,3.09089179498403e-05
"24","3-oxoacid CoA-transferase activity",-6.34794271254301,-2.36130772646449,0.000221097206107182
"25","3,4-dihydroxy-2-butanone-4-phosphate synthase activity",-7.79147512987752,-2.57729709083799,5.27854636120057e-05
"26","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity",-8.96098086737628,-3.36973790317498,1.91324603875566e-05
"27","4-aminobutyrate transaminase activity",-9.36326495671296,-3.24460198069363,1.38411160389316e-05
"28","4-hydroxybenzoate 3-monooxygenase [NAD(P)H] activity",-5.52414146591545,-3.63463312807399,0.000557657653215287
"29","4-hydroxybutyrate CoA-transferase activity",-4.7074704734221,-2.66488239879676,0.00152665377699486
"30","4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity",-3.88339619162036,-0.925803727670918,0.00465240980738785
"31","4 iron, 4 sulfur cluster binding",-3.39776275576428,-1.23817589182309,0.00939148705752522
"32","5'-deoxynucleotidase activity",2.46637259104396,1.69200412193822,0.0389300018357992
"33","5-amino-6-(5-phosphoribosylamino)uracil reductase activity",2.39100908525709,1.44731050758429,0.0437868216832997
"34","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity",-7.41898755593257,-3.23280151801687,7.48249127680178e-05
"35","6-deoxy-6-sulfofructose-1-phosphate aldolase activity",3.6616881107339,1.65761354563792,0.00638562815377822
"36","6-phospho-beta-glucosidase activity",5.33928585444946,1.97289169990742,0.000694730758535298
"37","6,7-dimethyl-8-ribityllumazine synthase activity",-8.84221157598509,-3.65820361375809,2.11006366293276e-05
"38","8-amino-7-oxononanoate synthase activity",4.88543306589323,1.96568693593001,0.00121596537087842
"39","acetate biosynthetic process",8.74193264314018,4.29360494487461,2.29388971689007e-05
"40","acetate CoA-transferase activity",-6.70498506820125,-2.21395380274741,0.000151923476058314
"41","acetyl-CoA biosynthetic process",-37.5140557568559,-4.54564773681862,2.79771148906363e-10
"42","acetyl-CoA biosynthetic process from pyruvate",3.4221201954535,2.72431208458141,0.00905955105132129
"43","acetyl-CoA C-acyltransferase activity",-8.93164141010669,-2.89373654358543,1.95988966837342e-05
"44","acetyl-CoA:oxalate CoA-transferase",3.68247304926767,1.3601412121511,0.00619702803951693
"45","acetylcholinesterase activity",-3.13401340933684,-1.10345266656011,0.0139305809305268
"46","acetylgalactosaminyltransferase activity",3.30704507968504,1.44853695848676,0.0107454165471795
"47","acetylglutamate kinase activity",-7.50727510558983,-1.65728519997616,6.88020490087274e-05
"48","acetyltransferase activity",-21.5317430069024,-4.58110329078465,2.27946162177102e-08
"49","acid phosphatase activity",-4.71386846318683,-2.09969227739684,0.00151409513239774
"50","aconitate hydratase activity",-4.46360588117789,-2.43551009622737,0.00210098142594506
"51","acrosome assembly",-2.90252757388224,-0.611420175097354,0.0198147639351174
"52","actin binding",-4.88460287055961,-2.92772241702102,0.00121724379150591
