"","Taxa_info","t_value","mean_difference","p_value"
"1","Carbohydrate metabolism",-6.42457189283549,-0.664377494841305,0.000203735067812061
"2","Cell motility",-12.8297760025238,-5.46572827979715,1.28599078971292e-06
"3","Cellular community - prokaryotes",-3.71980685345368,-0.559123217542069,0.00587302848419926
"4","Drug resistance",4.11676638818163,1.52834302794948,0.00335914198457947
"5","Energy metabolism",-2.74800398087523,-0.436839705717014,0.0251363357537992
"6","Folding, sorting and degradation",-4.56275871859322,-0.547080219019812,0.00184322049653227
"7","Glycan biosynthesis and metabolism",-12.3940473828368,-1.61111211271266,1.67534701897529e-06
"8","Infectious diseases",-4.93803759522812,-0.795872753285174,0.00113786912942914
"9","Lipid metabolism",6.49897788863706,1.74400521093492,0.00018830676724249
"10","Membrane transport",-4.84095303750531,-0.497603054969962,0.00128656865754184
"11","Metabolism of cofactors and vitamins",4.73542600981576,0.685044955938707,0.00147260011256158
"12","Metabolism of other amino acids",-7.72761225886914,-1.31860398941296,5.59866442970438e-05
"13","Metabolism of terpenoids and polyketides",10.0527576145375,4.32271763951172,8.16107550187893e-06
"14","Nucleotide metabolism",8.25252108377909,1.6043953278534,3.48912790084743e-05
"15","Replication and repair",-11.7508058778096,-1.4003630891031,2.51524429909519e-06
"16","Transcription",-4.05422099706842,-2.16149592713797,0.00366268821411893
"17","Translation",-10.1863692005093,-0.859689445849561,7.39382858556261e-06
"18","Transport and catabolism",-2.42684267739082,-1.55592988903616,0.0414056903758933
"19","Xenobiotics biodegradation and metabolism",-16.9149543672232,-3.23257816948314,1.51330326830837e-07
